EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
30547699,SOLID ROCK INTERNATIONAL OUTREACH MINISTRIES,% DR TED GABRIEL WATSON,5095 ROBINSON RD EXTENSION,JACKSON,MS,39204-0000,0,3,3,7000,200502,1,10,0,1,1,,1,2,6,0,12,,,,X21,
46011913,CHARLTON CHARITY TRUST NO 4 100-6009248,% BANKBOSTON N A,PO BOX 653067,DALLAS,TX,75265-3067,0,3,3,1000,0,0,4,909000000,6,12,202409.0,6,4,0,1,9,2589489.0,171790.0,,,
10867255,KINGDOM FIRST CHRISTIAN CENTER INC,% HORIS GREEN,PO BOX 20952,PORTLAND,OR,97294-0952,0,3,3,7000,200805,1,10,0,1,1,,0,0,6,0,12,,,,X20,
50635007,SUNNY SANDS ELEMENTARY SCHOOL PTG,% PAMELA HORTON,69310 MCCALLUM WAY,CATHEDRAL CTY,CA,92234-2997,0,3,3,1000,201202,1,15,0,1,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,B94,
30396268,MARRIAGE BED INC,% PAUL & LORI BYERLY,4641 LYONS HILL RD,SPRINGDALE,WA,99173-9708,4228,3,9,7000,200310,0,10,0,1,1,202412.0,0,0,6,0,12,0.0,0.0,0.0,,
46014480,MALCOLM COTTON BROWN CORP,,3317 DARTMOUTH AVE,DALLAS,TX,75205-3307,0,7,3,1000,197901,2,0,319036000,1,1,202508.0,4,6,1,0,8,379346.0,1153740.0,76781.0,,
10640885,SOUTHERN CALIFORNIA COMPLIANCE GROUP SCCG,% WILLIAM T WARNICK,1286 UNIVERSITY AVE STE 179,SAN DIEGO,CA,92103-3312,0,4,3,1000,200204,2,0,0,5,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,S46,
46009901,C MARGARET BROWNE TRUST 1-5334-0,% FLEET NATIONAL BANK,PO BOX 653067,DALLAS,TX,75265-3067,0,92,0,1000,0,0,0,0,0,12,202412.0,5,4,0,1,12,669547.0,157052.0,,,BANK OF AMERICA NA
30592628,SWEET DREAMS FOUNDATION,% SWEET DREAMS FOUNDATION,1714 VESSONA CIR,FOLSOM,CA,95630-7830,0,3,3,1000,200810,1,15,0,1,1,202412.0,3,4,1,0,12,97508.0,252708.0,252708.0,E86,
10614980,HEALING WATERS MINISTRIES,% PAS GARY & MARGARE STALLINGS,2415 CARTERS GIN RD,TONEY,AL,35773-9730,3317,3,9,7000,199112,1,10,0,1,1,,0,0,6,0,12,,,,,
